,2021-10-01,2021-07-02,2021-04-02,2021-01-01
Research Development,578000000.0,598000000.0,555000000.0,535000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,704000000.0,596000000.0,249000000.0,85000000.0
Minority Interest,,,,
Net Income,610000000.0,622000000.0,197000000.0,62000000.0
Selling General Administrative,291000000.0,286000000.0,287000000.0,265000000.0
Gross Profit,1721000000.0,1472000000.0,1124000000.0,960000000.0
Ebit,852000000.0,588000000.0,282000000.0,160000000.0
Operating Income,852000000.0,588000000.0,282000000.0,160000000.0
Other Operating Expenses,,,,
Interest Expense,-78000000.0,-80000000.0,-81000000.0,-81000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,94000000.0,-26000000.0,52000000.0,23000000.0
Total Revenue,5051000000.0,4920000000.0,4137000000.0,3943000000.0
Total Operating Expenses,4199000000.0,4332000000.0,3855000000.0,3783000000.0
Cost Of Revenue,3330000000.0,3448000000.0,3013000000.0,2983000000.0
Total Other Income Expense Net,-148000000.0,8000000.0,-33000000.0,-75000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,610000000.0,622000000.0,197000000.0,62000000.0
Net Income Applicable To Common Shares,610000000.0,622000000.0,197000000.0,62000000.0
