,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1017766000.0,1405878000.0,903717000.0,869659000.0
Minority Interest,389367000.0,355383000.0,400951000.0,367133000.0
Net Income,812925000.0,1134709000.0,764258000.0,742229000.0
Selling General Administrative,663600000.0,637003000.0,609209000.0,589413000.0
Gross Profit,1786814000.0,1746507000.0,1619739000.0,1596299000.0
Ebit,1014041000.0,1265972000.0,893182000.0,859185000.0
Operating Income,1014041000.0,1265972000.0,893182000.0,859185000.0
Other Operating Expenses,109173000.0,-156468000.0,112924000.0,143456000.0
Interest Expense,-158584000.0,-285249000.0,-15101000.0,-11061000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,185534000.0,253477000.0,124796000.0,107806000.0
Total Revenue,6198243000.0,5748206000.0,5076879000.0,4889918000.0
Total Operating Expenses,5184202000.0,4482234000.0,4183697000.0,4030733000.0
Cost Of Revenue,4411429000.0,4001699000.0,3457140000.0,3293619000.0
Total Other Income Expense Net,3725000.0,139906000.0,10535000.0,10474000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,832232000.0,1152401000.0,778921000.0,761853000.0
Net Income Applicable To Common Shares,812925000.0,1134709000.0,764258000.0,742229000.0
