,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,195276000.0,43536000.0,76135000.0,155568000.0
Minority Interest,1308908000.0,1322762000.0,1248054000.0,1252343000.0
Net Income,179663000.0,26257000.0,71546000.0,163729000.0
Selling General Administrative,32256000.0,31436000.0,29926000.0,27848000.0
Gross Profit,508576000.0,490603000.0,412149000.0,419534000.0
Ebit,208566000.0,218282000.0,137797000.0,148953000.0
Operating Income,208566000.0,218282000.0,137797000.0,148953000.0
Other Operating Expenses,,,,
Interest Expense,-122522000.0,-122341000.0,-123142000.0,-121173000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4940000.0,-2221000.0,3943000.0,290000.0
Total Revenue,1239797000.0,1140992000.0,1052062000.0,1122016000.0
Total Operating Expenses,1031231000.0,922710000.0,914265000.0,973063000.0
Cost Of Revenue,731221000.0,650389000.0,639913000.0,702482000.0
Total Other Income Expense Net,-13290000.0,-174746000.0,-61662000.0,6615000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,190336000.0,45757000.0,72192000.0,155278000.0
Net Income Applicable To Common Shares,179663000.0,26257000.0,71546000.0,163729000.0
