,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,832000000.0,602000000.0,168000000.0,177000000.0
Minority Interest,48000000.0,112000000.0,105000000.0,121000000.0
Net Income,733000000.0,476000000.0,121000000.0,94000000.0
Selling General Administrative,59000000.0,59000000.0,60000000.0,59000000.0
Gross Profit,1143000000.0,1422000000.0,754000000.0,822000000.0
Ebit,552000000.0,798000000.0,191000000.0,249000000.0
Operating Income,552000000.0,798000000.0,191000000.0,249000000.0
Other Operating Expenses,358000000.0,381000000.0,322000000.0,328000000.0
Interest Expense,-59000000.0,-60000000.0,-61000000.0,-62000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,96000000.0,119000000.0,46000000.0,75000000.0
Total Revenue,2590000000.0,2764000000.0,2009000000.0,2113000000.0
Total Operating Expenses,2038000000.0,1966000000.0,1818000000.0,1864000000.0
Cost Of Revenue,1447000000.0,1342000000.0,1255000000.0,1291000000.0
Total Other Income Expense Net,280000000.0,-196000000.0,-23000000.0,-72000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,736000000.0,483000000.0,122000000.0,102000000.0
Net Income Applicable To Common Shares,733000000.0,476000000.0,121000000.0,94000000.0
