,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-15000000.0,-10000000.0,-38000000.0,-1000000.0
Change To Liabilities,227000000.0,33000000.0,-111000000.0,-11000000.0
Total Cashflows From Investing Activities,-72000000.0,-162000000.0,-61000000.0,-343000000.0
Total Cash From Financing Activities,-96000000.0,-79000000.0,-64000000.0,178000000.0
Change To Operating Activities,-117000000.0,-96000000.0,14000000.0,57000000.0
Net Income,28000000.0,61000000.0,117000000.0,98000000.0
Change In Cash,57000000.0,-146000000.0,22000000.0,13000000.0
Effect Of Exchange Rate,-3000000.0,4000000.0,-3000000.0,9000000.0
Total Cash From Operating Activities,228000000.0,91000000.0,150000000.0,169000000.0
Depreciation,79000000.0,79000000.0,77000000.0,71000000.0
Dividends Paid,-78000000.0,-62000000.0,-63000000.0,-62000000.0
Change To Inventory,-21000000.0,1000000.0,-10000000.0,11000000.0
Change To Account Receivables,-10000000.0,-44000000.0,94000000.0,-98000000.0
Other Cashflows From Financing Activities,-18000000.0,-17000000.0,-1000000.0,-4000000.0
Change To Netincome,42000000.0,57000000.0,-31000000.0,41000000.0
Capital Expenditures,-35000000.0,-20000000.0,-20000000.0,-18000000.0
Net Borrowings,,,,244000000.0
