,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2748000.0,2844000.0,2940000.0,3036000.0
Total Liab,42387000.0,38202000.0,104985000.0,242701000.0
Total Stockholder Equity,6004353000.0,5943264000.0,5823427000.0,5714571000.0
Deferred Long Term Liab,5950000.0,6257000.0,4881000.0,5202000.0
Other Current Liab,154000.0,103000.0,59361000.0,76000.0
Total Assets,6046740000.0,5981466000.0,5928412000.0,5957272000.0
Common Stock,3685032000.0,3674783000.0,3656400000.0,3646291000.0
Other Current Assets,63000.0,63000.0,64000.0,64000.0
Retained Earnings,2268552000.0,2201156000.0,2098041000.0,1941398000.0
Other Liab,11312000.0,8892000.0,5326000.0,13668000.0
Treasury Stock,50769000.0,67325000.0,68986000.0,126882000.0
Other Assets,61476000.0,61690000.0,56505000.0,54800000.0
Cash,372450000.0,235446000.0,191162000.0,192683000.0
Total Current Liabilities,28817000.0,26802000.0,96972000.0,31169000.0
Other Stockholder Equity,50769000.0,67325000.0,68986000.0,126882000.0
Property Plant Equipment,5511453000.0,5569499000.0,5574355000.0,5494680000.0
Total Current Assets,392716000.0,254448000.0,201484000.0,201831000.0
Long Term Investments,78347000.0,92985000.0,93128000.0,202925000.0
Net Tangible Assets,6001605000.0,5940420000.0,5820487000.0,5711535000.0
Net Receivables,11204000.0,13787000.0,6917000.0,6696000.0
Inventory,6108000.0,1606000.0,1638000.0,
Accounts Payable,14514000.0,12781000.0,10394000.0,13023000.0
Long Term Debt,,,,195000000.0
