,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-5076000.0,-2377000.0,112188000.0,113365000.0
Change To Liabilities,2796000.0,859000.0,-1879000.0,-3556000.0
Total Cashflows From Investing Activities,-6942000.0,-67544000.0,-43276000.0,112973000.0
Net Borrowings,-196000.0,-173000.0,-195214000.0,-292766000.0
Total Cash From Financing Activities,-57302000.0,-104652000.0,-190421000.0,-338553000.0
Change To Operating Activities,-934000.0,-1804000.0,119000.0,381000.0
Issuance Of Stock,183000.0,743000.0,4793000.0,1113000.0
Net Income,134937000.0,166124000.0,162002000.0,157221000.0
Change In Cash,137004000.0,44284000.0,-1521000.0,-17151000.0
Effect Of Exchange Rate,-39000.0,65000.0,22000.0,467000.0
Total Cash From Operating Activities,201287000.0,216415000.0,232154000.0,207962000.0
Depreciation,55445000.0,70775000.0,70649000.0,60237000.0
Other Cashflows From Investing Activities,-61000.0,-386000.0,-134000.0,-110000.0
Dividends Paid,-57235000.0,-103549000.0,-103549000.0,-46900000.0
Change To Account Receivables,2572000.0,-6858000.0,-212000.0,1429000.0
Other Cashflows From Financing Activities,-54000.0,-1673000.0,-1673000.0,-1673000.0
Change To Netincome,6471000.0,-12681000.0,1475000.0,-7750000.0
Capital Expenditures,-1805000.0,-64771000.0,-151769000.0,-282000.0
