,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1364500000.0,1364500000.0,1389300000.0,1389300000.0
Capital Surplus,570300000.0,570300000.0,570300000.0,570300000.0
Total Liab,21424100000.0,21424100000.0,31023500000.0,31023500000.0
Total Stockholder Equity,4491200000.0,4491200000.0,4848300000.0,4848300000.0
Minority Interest,311400000.0,311400000.0,318100000.0,318100000.0
Other Current Liab,4124800000.0,4124800000.0,3984100000.0,3984100000.0
Total Assets,26226700000.0,26226700000.0,36189900000.0,36189900000.0
Common Stock,127000000.0,127000000.0,129600000.0,129600000.0
Other Current Assets,1800000.0,1800000.0,200000.0,200000.0
Retained Earnings,4952100000.0,4952100000.0,5070700000.0,5070700000.0
Other Liab,1230000000.0,1230000000.0,1081900000.0,1081900000.0
Good Will,7325100000.0,7325100000.0,7388800000.0,7388800000.0
Treasury Stock,-1158200000.0,-1158200000.0,-922300000.0,-922300000.0
Other Assets,486300000.0,486300000.0,393900000.0,393900000.0
Cash,1704100000.0,1704100000.0,10075000000.0,10075000000.0
Total Current Liabilities,14097800000.0,14097800000.0,23133600000.0,23133600000.0
Deferred Long Term Asset Charges,264800000.0,264800000.0,212900000.0,212900000.0
Short Long Term Debt,604100000.0,604100000.0,57200000.0,57200000.0
Other Stockholder Equity,-43400000.0,-43400000.0,196000000.0,196000000.0
Property Plant Equipment,2265800000.0,2265800000.0,2295400000.0,2295400000.0
Total Current Assets,13911900000.0,13911900000.0,24004500000.0,24004500000.0
Long Term Investments,873100000.0,873100000.0,718000000.0,718000000.0
Net Tangible Assets,-4198400000.0,-4198400000.0,-3929800000.0,-3929800000.0
Short Term Investments,1842000000.0,1842000000.0,2824100000.0,2824100000.0
Net Receivables,10098400000.0,10098400000.0,10857100000.0,10857100000.0
Long Term Debt,4286500000.0,4286500000.0,4975500000.0,4975500000.0
Accounts Payable,8902200000.0,8902200000.0,10206500000.0,10206500000.0
