,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,36600000.0
Total Cashflows From Investing Activities,-65300000.0,-55900000.0,-54500000.0,-57600000.0
Total Cash From Financing Activities,-5800000.0,300000.0,-156400000.0,-8700000.0
Change To Operating Activities,-20000000.0,-73600000.0,-94900000.0,98800000.0
Issuance Of Stock,7100000.0,14100000.0,7600000.0,4500000.0
Net Income,175600000.0,187300000.0,151200000.0,98400000.0
Change In Cash,111800000.0,92500000.0,-131800000.0,96100000.0
Repurchase Of Stock,-300000.0,-700000.0,-150800000.0,-150800000.0
Effect Of Exchange Rate,-7200000.0,3700000.0,-9600000.0,13700000.0
Total Cash From Operating Activities,190100000.0,144400000.0,88700000.0,148700000.0
Depreciation,30000000.0,28800000.0,29100000.0,28500000.0
Dividends Paid,-12600000.0,-12600000.0,-12600000.0,-12600000.0
Change To Netincome,4500000.0,1900000.0,3300000.0,6700000.0
Capital Expenditures,-65300000.0,-56900000.0,-54700000.0,-57700000.0
Net Borrowings,,-500000.0,-600000.0,-600000.0
Other Cashflows From Investing Activities,,1000000.0,200000.0,-3700000.0
Change To Inventory,,,,-73700000.0
Change To Account Receivables,,,,-46600000.0
