,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,18378000.0,30397000.0,-15063000.0,118415000.0
Total Cashflows From Investing Activities,-38464000.0,-5098000.0,-11149000.0,-46464000.0
Total Cash From Financing Activities,-6382000.0,-5356000.0,464485000.0,260000000.0
Change To Operating Activities,-14974000.0,-35317000.0,-119303000.0,-105831000.0
Issuance Of Stock,16586000.0,16586000.0,2359322000.0,260000000.0
Net Income,-286033000.0,-263487000.0,-199854000.0,-14475000.0
Change In Cash,-45203000.0,48613000.0,382645000.0,116391000.0
Repurchase Of Stock,-22968000.0,-4832000.0,-4832000.0,-4832000.0
Effect Of Exchange Rate,-767000.0,255000.0,-606000.0,1348000.0
Total Cash From Operating Activities,410000.0,58812000.0,-70085000.0,-98493000.0
Depreciation,5109000.0,1330000.0,7572000.0,7887000.0
Change To Account Receivables,-16135000.0,16324000.0,37072000.0,-135469000.0
Change To Netincome,277961000.0,290905000.0,208278000.0,21265000.0
Capital Expenditures,-13464000.0,-5098000.0,-11149000.0,-46464000.0
Other Cashflows From Financing Activities,,-524000.0,-2557000.0,-2557000.0
Net Borrowings,,,-1892280000.0,-1892280000.0
