,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,83875000.0,79871000.0,62806000.0,43810000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-280624000.0,-274860000.0,-198314000.0,-11479000.0
Minority Interest,,,,
Net Income,-286033000.0,-263487000.0,-199854000.0,-14475000.0
Selling General Administrative,396880000.0,378380000.0,310630000.0,129293000.0
Gross Profit,204791000.0,184582000.0,176862000.0,162113000.0
Ebit,-275964000.0,-273669000.0,-196574000.0,-10990000.0
Operating Income,-275964000.0,-273669000.0,-196574000.0,-10990000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,5409000.0,-11373000.0,1540000.0,2996000.0
Total Revenue,271634000.0,249345000.0,238643000.0,213566000.0
Total Operating Expenses,547598000.0,523014000.0,435217000.0,224556000.0
Cost Of Revenue,66843000.0,64763000.0,61781000.0,51453000.0
Total Other Income Expense Net,-4660000.0,-1191000.0,-1740000.0,-489000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-286033000.0,-263487000.0,-199854000.0,-14475000.0
Net Income Applicable To Common Shares,-286033000.0,-263487000.0,-199854000.0,-14475000.0
