,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,356000000.0,367000000.0,234000000.0,386000000.0
Capital Surplus,4685000000.0,4679000000.0,4664000000.0,4658000000.0
Total Liab,4629000000.0,4476000000.0,4224000000.0,4404000000.0
Total Stockholder Equity,6608000000.0,6575000000.0,6375000000.0,6206000000.0
Minority Interest,269000000.0,253000000.0,238000000.0,265000000.0
Deferred Long Term Liab,7000000.0,8000000.0,,9000000.0
Other Current Liab,623000000.0,603000000.0,122000000.0,598000000.0
Total Assets,11506000000.0,11304000000.0,10837000000.0,10875000000.0
Common Stock,4000000.0,4000000.0,4000000.0,4000000.0
Retained Earnings,2468000000.0,2415000000.0,2285000000.0,2105000000.0
Other Liab,387000000.0,391000000.0,392000000.0,394000000.0
Good Will,858000000.0,841000000.0,829000000.0,832000000.0
Treasury Stock,-549000000.0,-523000000.0,-578000000.0,-561000000.0
Other Assets,571000000.0,555000000.0,1081000000.0,547000000.0
Cash,1278000000.0,1209000000.0,1084000000.0,1158000000.0
Total Current Liabilities,2194000000.0,2116000000.0,1922000000.0,2067000000.0
Deferred Long Term Asset Charges,68000000.0,73000000.0,83000000.0,98000000.0
Other Stockholder Equity,213000000.0,205000000.0,150000000.0,167000000.0
Property Plant Equipment,4197000000.0,4027000000.0,3889000000.0,3929000000.0
Total Current Assets,5082000000.0,5040000000.0,4756000000.0,4936000000.0
Long Term Investments,442000000.0,474000000.0,48000000.0,245000000.0
Net Tangible Assets,5394000000.0,5367000000.0,5312000000.0,4988000000.0
Short Term Investments,3099000000.0,3139000000.0,3026000000.0,3105000000.0
Net Receivables,176000000.0,181000000.0,102000000.0,156000000.0
Inventory,390000000.0,380000000.0,345000000.0,398000000.0
Accounts Payable,756000000.0,712000000.0,1800000000.0,708000000.0
Other Current Assets,,,199000000.0,
