,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,108900000.0,180500000.0,94400000.0,100000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,162600000.0,173900000.0,220600000.0,195600000.0
Minority Interest,5600000.0,5400000.0,4800000.0,5200000.0
Net Income,145600000.0,141900000.0,198100000.0,333700000.0
Selling General Administrative,766200000.0,812000000.0,765500000.0,807200000.0
Gross Profit,1353500000.0,1453200000.0,1331000000.0,1433700000.0
Ebit,324700000.0,306100000.0,315600000.0,373900000.0
Operating Income,324700000.0,306100000.0,315600000.0,373900000.0
Other Operating Expenses,,,,
Interest Expense,-52600000.0,-54700000.0,-52300000.0,-53100000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,16800000.0,31400000.0,22900000.0,-138200000.0
Total Revenue,1924000000.0,2026900000.0,1847400000.0,2085300000.0
Total Operating Expenses,1599300000.0,1720800000.0,1531800000.0,1711400000.0
Cost Of Revenue,570500000.0,573700000.0,516400000.0,651600000.0
Total Other Income Expense Net,-162100000.0,-132200000.0,-95000000.0,-178300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,145800000.0,142500000.0,197700000.0,333800000.0
Net Income Applicable To Common Shares,145600000.0,141900000.0,198100000.0,333700000.0
