,2021-10-02,2021-07-03,2021-04-03,2020-12-31
Intangible Assets,456000000.0,372000000.0,376000000.0,402000000.0
Capital Surplus,447000000.0,427000000.0,405000000.0,395000000.0
Total Liab,3049000000.0,3004000000.0,3000000000.0,3231000000.0
Total Stockholder Equity,2816000000.0,2589000000.0,2411000000.0,2144000000.0
Other Current Liab,518000000.0,547000000.0,529000000.0,586000000.0
Total Assets,5865000000.0,5593000000.0,5411000000.0,5375000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,93000000.0,32000000.0,43000000.0,24000000.0
Retained Earnings,3382000000.0,3183000000.0,2964000000.0,2736000000.0
Other Liab,396000000.0,376000000.0,359000000.0,341000000.0
Good Will,3194000000.0,2989000000.0,2989000000.0,2988000000.0
Treasury Stock,-1014000000.0,-1022000000.0,-959000000.0,-988000000.0
Other Assets,196000000.0,218000000.0,214000000.0,226000000.0
Cash,307000000.0,318000000.0,177000000.0,168000000.0
Total Current Liabilities,1581000000.0,1550000000.0,1546000000.0,1851000000.0
Deferred Long Term Asset Charges,106000000.0,131000000.0,133000000.0,139000000.0
Short Long Term Debt,68000000.0,64000000.0,151000000.0,381000000.0
Other Stockholder Equity,-28000000.0,-38000000.0,-40000000.0,-69000000.0
Property Plant Equipment,404000000.0,395000000.0,398000000.0,409000000.0
Total Current Assets,1524000000.0,1526000000.0,1343000000.0,1273000000.0
Long Term Investments,91000000.0,93000000.0,91000000.0,77000000.0
Net Tangible Assets,-834000000.0,-772000000.0,-954000000.0,-1246000000.0
Net Receivables,686000000.0,631000000.0,528000000.0,558000000.0
Long Term Debt,952000000.0,960000000.0,973000000.0,910000000.0
Inventory,438000000.0,485000000.0,528000000.0,511000000.0
Accounts Payable,609000000.0,597000000.0,573000000.0,601000000.0
Deferred Long Term Liab,,,,23000000.0
