,2021-10-02,2021-07-03,2021-04-03,2020-12-31
Investments,-7000000.0,-4000000.0,-13000000.0,-13000000.0
Change To Liabilities,42000000.0,37000000.0,20000000.0,99000000.0
Total Cashflows From Investing Activities,-310000000.0,-36000000.0,-23000000.0,-18000000.0
Total Cash From Financing Activities,-22000000.0,-148000000.0,-181000000.0,-288000000.0
Change To Operating Activities,36000000.0,47000000.0,-65000000.0,55000000.0
Net Income,199000000.0,219000000.0,228000000.0,199000000.0
Change In Cash,-31000000.0,129000000.0,18000000.0,124000000.0
Effect Of Exchange Rate,4000000.0,-2000000.0,-2000000.0,-1000000.0
Total Cash From Operating Activities,297000000.0,315000000.0,224000000.0,431000000.0
Depreciation,48000000.0,44000000.0,44000000.0,43000000.0
Change To Inventory,49000000.0,43000000.0,-17000000.0,-35000000.0
Change To Account Receivables,-48000000.0,-44000000.0,-15000000.0,34000000.0
Other Cashflows From Financing Activities,-22000000.0,-23000000.0,-25000000.0,38000000.0
Change To Netincome,15000000.0,20000000.0,1000000.0,-18000000.0
Capital Expenditures,-13000000.0,-15000000.0,-10000000.0,-18000000.0
Net Borrowings,,-100000000.0,-156000000.0,-326000000.0
Repurchase Of Stock,,-25000000.0,-25000000.0,-25000000.0
