,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,447300000.0,354100000.0,354100000.0,365700000.0
Capital Surplus,1808900000.0,602700000.0,549600000.0,505200000.0
Total Liab,4773400000.0,1831600000.0,1600100000.0,1387800000.0
Total Stockholder Equity,1785000000.0,616300000.0,554300000.0,502800000.0
Minority Interest,49700000.0,375400000.0,392600000.0,436800000.0
Deferred Long Term Liab,52900000.0,50000000.0,45600000.0,27700000.0
Other Current Liab,321200000.0,309900000.0,291200000.0,258000000.0
Total Assets,6608100000.0,2823300000.0,2547000000.0,2327400000.0
Common Stock,3900000.0,3900000.0,3900000.0,4000000.0
Retained Earnings,-32100000.0,8500000.0,-800000.0,-4000000.0
Other Liab,3069900000.0,641300000.0,480100000.0,285900000.0
Good Will,1575400000.0,1023800000.0,1000100000.0,1000100000.0
Treasury Stock,4300000.0,1200000.0,1600000.0,-2400000.0
Other Assets,4064700000.0,807200000.0,632500000.0,443400000.0
Cash,196800000.0,332900000.0,229100000.0,269800000.0
Total Current Liabilities,407900000.0,385500000.0,348200000.0,320800000.0
Deferred Long Term Asset Charges,4006000000.0,755500000.0,584900000.0,415700000.0
Short Long Term Debt,5300000.0,6500000.0,7800000.0,7700000.0
Other Stockholder Equity,4300000.0,1200000.0,1600000.0,-2400000.0
Property Plant Equipment,100800000.0,98000000.0,61100000.0,63000000.0
Total Current Assets,408700000.0,530000000.0,485500000.0,454200000.0
Long Term Investments,11200000.0,10200000.0,13700000.0,1000000.0
Net Tangible Assets,-237700000.0,-761600000.0,-799900000.0,-863000000.0
Short Term Investments,36500000.0,66800000.0,124600000.0,30600000.0
Net Receivables,121200000.0,114500000.0,118400000.0,126000000.0
Long Term Debt,1232400000.0,739500000.0,739200000.0,747500000.0
Accounts Payable,24900000.0,20700000.0,13800000.0,8600000.0
Other Current Assets,,,100000.0,15900000.0
