,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,6313000000.0,6361000000.0,6277000000.0,6155000000.0
Total Liab,232678000000.0,234797000000.0,244550000000.0,241252000000.0
Total Stockholder Equity,73624000000.0,75051000000.0,65352000000.0,69346000000.0
Minority Interest,17263000000.0,16971000000.0,16147000000.0,15517000000.0
Deferred Long Term Liab,819000000.0,845000000.0,875000000.0,887000000.0
Other Current Liab,14745000000.0,14852000000.0,17781000000.0,17282000000.0
Total Assets,323565000000.0,326819000000.0,326049000000.0,326115000000.0
Common Stock,16948000000.0,16948000000.0,15329000000.0,15329000000.0
Other Current Assets,7540000000.0,7061000000.0,6857000000.0,6571000000.0
Retained Earnings,8606000000.0,10037000000.0,10719000000.0,14725000000.0
Other Liab,7436000000.0,7189000000.0,6780000000.0,6863000000.0
Treasury Stock,48070000000.0,179000000.0,39304000000.0,242000000.0
Other Assets,13811000000.0,13109000000.0,11891000000.0,10679000000.0
Cash,22331000000.0,25235000000.0,25420000000.0,25823000000.0
Total Current Liabilities,101778000000.0,103155000000.0,99784000000.0,95681000000.0
Deferred Long Term Asset Charges,10562000000.0,9964000000.0,9148000000.0,7749000000.0
Short Long Term Debt,29683000000.0,8691000000.0,25039000000.0,3814000000.0
Other Stockholder Equity,48070000000.0,179000000.0,39304000000.0,242000000.0
Property Plant Equipment,260021000000.0,260879000000.0,261422000000.0,263732000000.0
Total Current Assets,36898000000.0,40029000000.0,39821000000.0,38985000000.0
Long Term Investments,6522000000.0,6441000000.0,6638000000.0,6564000000.0
Net Tangible Assets,67311000000.0,68690000000.0,59075000000.0,63191000000.0
Net Receivables,5224000000.0,5721000000.0,5715000000.0,4341000000.0
Long Term Debt,35935000000.0,31944000000.0,41596000000.0,38134000000.0
Inventory,1803000000.0,1826000000.0,1829000000.0,1975000000.0
Accounts Payable,12435000000.0,1257000000.0,13371000000.0,1729000000.0
Capital Surplus,,47887000000.0,,39050000000.0
