,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,0.0,0.0,0.0,69409000.0
Total Cashflows From Investing Activities,-1385810000.0,-184468000.0,-4371990000.0,-2916733000.0
Total Cash From Financing Activities,-2166990000.0,-943506000.0,993968000.0,-628169000.0
Net Income,1166700000.0,1292172000.0,533625000.0,1288141000.0
Change In Cash,-1767664000.0,670550000.0,-2867802000.0,-2070997000.0
Effect Of Exchange Rate,-1941000.0,-133881000.0,33268000.0,-566354000.0
Total Cash From Operating Activities,1787077000.0,1932405000.0,476952000.0,2040259000.0
Depreciation,537989000.0,564802000.0,521359000.0,526998000.0
Other Cashflows From Investing Activities,-1385810000.0,-184468000.0,-2071990000.0,139192000.0
Other Cashflows From Financing Activities,-2166990000.0,-943506000.0,993968000.0,-9024729000.0
Change To Netincome,82388000.0,75431000.0,-578032000.0,1618592000.0
Capital Expenditures,,,-2300000000.0,-7237302000.0
Investments,,,,6152027000.0
Net Borrowings,,,,1432929000.0
Change To Operating Activities,,,,-1193768000.0
Issuance Of Stock,,,,9841280000.0
Repurchase Of Stock,,,,-1228341000.0
Dividends Paid,,,,-1649308000.0
Change To Inventory,,,,-159724000.0
Change To Account Receivables,,,,-79831000.0
